Passo,Step,Valor do Passo,Timestamp
0,"[False, True, True, False, False]",12,1745532174.7047548
1,"[False, True, True, True, False]",14,1745532176.4499621
2,"[False, True, True, True, True]",15,1745532176.7052712
3,"[False, False, True, True, True]",7,1745532176.850372
4,"[False, False, False, True, True]",3,1745532179.1627676
5,"[False, False, False, False, True]",1,1745532179.2120054
6,"[False, False, True, False, True]",5,1745532179.3482325
7,"[True, False, True, False, True]",21,1745532182.8320496
8,"[True, True, True, False, True]",29,1745532183.6396174
9,"[False, True, True, False, True]",13,1745532183.653811
10,"[False, True, True, True, True]",15,1745532188.619894
11,"[False, True, True, True, False]",14,1745532191.6876934
12,"[False, True, True, False, False]",12,1745532193.6934385
13,"[False, True, True, False, True]",13,1745532195.934451
14,"[False, False, True, False, True]",5,1745532196.1067324
15,"[False, False, True, False, True]",5,1745532196.3960617
16,"[False, False, True, False, False]",4,1745532198.4529803
17,"[False, False, True, False, True]",5,1745532203.6713872
18,"[False, False, True, False, True]",5,1745532205.5500665
19,"[False, True, True, False, True]",13,1745532208.422155
20,"[False, True, True, False, False]",12,1745532208.4831588
21,"[False, True, True, True, False]",14,1745532210.4231136
22,"[False, True, True, True, True]",15,1745532210.6886756
23,"[False, False, True, True, True]",7,1745532210.8122132
24,"[False, False, False, True, True]",3,1745532213.679118
25,"[False, False, False, False, True]",1,1745532213.787162
26,"[False, False, True, False, True]",5,1745532213.9895022
27,"[False, False, False, False, True]",1,1745532214.0896773
28,"[False, False, True, False, True]",5,1745532214.2532878
29,"[False, False, False, False, True]",1,1745532214.356816
30,"[False, False, True, False, True]",5,1745532214.4279008
31,"[True, False, True, False, True]",21,1745532215.690778
32,"[True, True, True, False, True]",29,1745532216.6450555
33,"[False, True, True, False, True]",13,1745532216.8031356
34,"[False, True, True, True, True]",15,1745532221.708902
35,"[False, True, True, True, False]",14,1745532224.7481647
36,"[False, True, True, False, False]",12,1745532226.7205045
37,"[False, True, True, False, True]",13,1745532228.9452631
38,"[False, False, True, False, True]",5,1745532229.164161
39,"[False, False, True, False, True]",5,1745532229.446686
40,"[False, False, True, False, False]",4,1745532231.5057
41,"[False, False, True, False, True]",5,1745532236.7592185
42,"[False, False, True, False, True]",5,1745532238.588
43,"[False, True, True, False, True]",13,1745532238.8263595
44,"[False, True, True, False, False]",12,1745532241.5133815
45,"[False, True, True, True, False]",14,1745532243.5203943
46,"[False, True, True, True, True]",15,1745532243.739013
47,"[False, False, True, True, True]",7,1745532243.9227324
