IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo0: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532174.7047548
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo1: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532176.4499621
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo2: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532176.7052712
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo3: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532176.850372
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo4: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532179.1627676
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo5: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532179.2120054
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo6: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532179.3482325
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo7: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532182.8320496
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo8: [True, True, True, False, True] | Valor do passo: 29 | timestamp: 1745532183.6396174
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo9: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532183.653811
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo10: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532188.619894
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo11: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532191.6876934
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo12: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532193.6934385
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo13: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532195.934451
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo14: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532196.1067324
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo15: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532196.3960617
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo16: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532198.4529803
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo17: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532203.6713872
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo18: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532205.5500665
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo19: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532208.422155
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo20: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532208.4831588
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo21: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532210.4231136
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo22: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532210.6886756
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo23: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532210.8122132
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo24: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532213.679118
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo25: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532213.787162
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo26: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532213.9895022
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo27: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532214.0896773
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo28: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532214.2532878
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo29: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532214.356816
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo30: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532214.4279008
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo31: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532215.690778
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo32: [True, True, True, False, True] | Valor do passo: 29 | timestamp: 1745532216.6450555
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo33: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532216.8031356
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo34: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532221.708902
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo35: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532224.7481647
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo36: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532226.7205045
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo37: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532228.9452631
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo38: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532229.164161
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo39: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532229.446686
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo40: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532231.5057
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo41: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532236.7592185
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo42: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532238.588
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo43: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532238.8263595
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo44: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532241.5133815
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo45: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532243.5203943
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo46: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532243.739013
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo47: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532243.9227324
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo48: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532246.4683614
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo49: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532246.541374
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo50: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532246.7590737
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo51: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532248.3054292
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo52: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532249.3236396
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo53: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532254.3179567
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo54: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532257.4079237
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo55: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532259.3587706
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo56: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532261.5880113
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo57: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532261.890178
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo58: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532262.1028304
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo59: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532264.1396747
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo60: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532269.363896
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo61: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532271.2408426
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo62: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532274.1134586
